rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
snoRNA,52,0.147799827437446,0.2148620933411626,0.2327411001451017,0.0555781998899976,0.2699184697610531,0.2143402698710555,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
tRNA,62,0.0980371514130638,0.1405745469454755,0.1222199544511464,0.0518682270474962,0.1876431585292345,0.1357749314817382,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
unknown,460,0.0917085524131594,0.1575670270493471,0.1719117139423317,0.0421139304011345,0.2068933045780169,0.1647793741768823,1.726115881219506e-14,CAST,lcr,coverage_per_lcr,5.178347643658519e-14
diverse,27,0.6496519721577726,0.5899926196494326,0.2118186640201458,0.4620448179271709,0.7185185185185186,0.2564737005913476,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
mRNA,879,0.6164383561643836,0.5672225018860179,0.2098715768014982,0.3959731543624161,0.7181976599452328,0.3222245055828167,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
ncRNA,124,0.638465617464907,0.5932929832655457,0.2042501449623542,0.4623161764705882,0.7321138211382113,0.2697976446676231,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
pre-rRNA,119,0.6785714285714286,0.6897386605206417,0.1113599752021104,0.6503149390661371,0.7360681114551084,0.0857531723889712,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
ribosomal protein,48,0.668006993006993,0.6162299983057679,0.2018771194754686,0.5844481605351171,0.7407407407407407,0.1562925802056236,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
snRNA,109,0.6923076923076923,0.6191457518512921,0.2260502648718871,0.5184210526315789,0.7567567567567568,0.2383357041251779,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
snoRNA,52,0.6649122807017543,0.6007569835996539,0.1948122290502419,0.5273148148148148,0.7070840453627466,0.1797692305479318,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
tRNA,62,0.6843632958801498,0.6109239898648883,0.2114404293499114,0.3739316239316239,0.7603073463268366,0.3863757223952127,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
unknown,460,0.6363636363636364,0.5726922449421289,0.1973511613283513,0.4283804430863254,0.706923076923077,0.2785426338367516,5.438625067720754e-08,CAST,lcr,frac_polar,9.323357258949865e-08
diverse,27,0.4736842105263158,0.5160389898878608,0.1540186436535447,0.4251389636005021,0.593139482053612,0.1680005184531099,0.0001927242807622,CAST,lcr,frac_hydrophobic,0.0002312691369147
mRNA,879,0.4601769911504425,0.4656214706263019,0.1582569266444441,0.3785095775387037,0.5446428571428571,0.1661332796041533,0.0001927242807622,CAST,lcr,frac_hydrophobic,0.0002312691369147
