method,rna_class,metric,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
SEG_intermediate,unknown,frac_negative,278,0.0506410256410256,0.0,0.3189071566731141,0.3189071566731141,0.1862379603595197,0.2479533898494411,1.414702546209436e-23,8.488215277256616e-23
AlcoR,diverse,frac_positive,60,0.125,0.1010869565217391,0.1597916666666666,0.0587047101449275,0.137276496166817,0.0714264062163693,0.0005353896831813,0.0009178108854538
AlcoR,mRNA,frac_positive,1040,0.12,0.0734956826767404,0.1739130434782609,0.1004173608015204,0.1298275099835022,0.0911869141848627,0.0005353896831813,0.0009178108854538
AlcoR,ncRNA,frac_positive,196,0.125,0.0820519988817444,0.1666666666666667,0.0846146677849222,0.1337113273405475,0.0870735831848737,0.0005353896831813,0.0009178108854538
AlcoR,pre-rRNA,frac_positive,133,0.130718954248366,0.0588235294117647,0.1820987654320988,0.123275236020334,0.1440362974453305,0.1077701268261893,0.0005353896831813,0.0009178108854538
AlcoR,ribosomal protein,frac_positive,98,0.1655251141552511,0.1102777777777777,0.2222222222222222,0.1119444444444444,0.1756795136749975,0.0957586302066514,0.0005353896831813,0.0009178108854538
AlcoR,snRNA,frac_positive,87,0.125,0.0793850806451612,0.1785130718954248,0.0991279912502635,0.1361529657475162,0.0924623343919432,0.0005353896831813,0.0009178108854538
AlcoR,snoRNA,frac_positive,60,0.1119658119658119,0.0567460317460317,0.1578947368421053,0.1011487050960735,0.1221940391211998,0.0909877602725374,0.0005353896831813,0.0009178108854538
AlcoR,tRNA,frac_positive,245,0.1222707423580786,0.0909090909090909,0.1666666666666667,0.0757575757575758,0.1363064668323114,0.0777687329434252,0.0005353896831813,0.0009178108854538
AlcoR,unknown,frac_positive,885,0.1262458471760797,0.0821917808219178,0.1679389312977099,0.0857471504757921,0.1305609092457068,0.07764517403729,0.0005353896831813,0.0009178108854538
CAST,diverse,frac_positive,27,0.1268656716417911,0.0789377289377289,0.2075561476969927,0.1286184187592638,0.1517497109550485,0.117751692464167,4.1950454181667775e-21,2.517027250900067e-20
CAST,mRNA,frac_positive,879,0.1132075471698113,0.0494777499727994,0.1963298139768728,0.1468520640040733,0.1372510306305575,0.115633441124563,4.1950454181667775e-21,2.517027250900067e-20
CAST,ncRNA,frac_positive,124,0.11001100110011,0.0584033613445378,0.1996204278812974,0.1412170665367596,0.1428421838863424,0.1158299569761884,4.1950454181667775e-21,2.517027250900067e-20
CAST,pre-rRNA,frac_positive,119,0.2352941176470588,0.125563063063063,0.3227854235316921,0.1972223604686291,0.2285563105658905,0.1310086791277984,4.1950454181667775e-21,2.517027250900067e-20
CAST,ribosomal protein,frac_positive,48,0.3283012418821921,0.2138465322183964,0.3967989002356638,0.1829523680172673,0.3040026748710594,0.1621835976829179,4.1950454181667775e-21,2.517027250900067e-20
CAST,snRNA,frac_positive,109,0.154320987654321,0.0694444444444444,0.2670454545454545,0.19760101010101,0.1862427810257522,0.1327483178653148,4.1950454181667775e-21,2.517027250900067e-20
CAST,snoRNA,frac_positive,52,0.1838095238095238,0.1111111111111111,0.2739623998356276,0.1628512887245165,0.185015104817562,0.1129802086040699,4.1950454181667775e-21,2.517027250900067e-20
CAST,tRNA,frac_positive,62,0.1214756258234519,0.0685185185185185,0.2489035087719298,0.1803849902534113,0.1587197992026697,0.1151056470836611,4.1950454181667775e-21,2.517027250900067e-20
CAST,unknown,frac_positive,460,0.1208470244614823,0.0607316256487527,0.2,0.1392683743512472,0.1440776041659077,0.1151506245526627,4.1950454181667775e-21,2.517027250900067e-20
FLPS,diverse,frac_positive,176,0.0588235294117647,0.0,0.2,0.2,0.1369301175508009,0.1920662368753485,1.5587399418968317e-30,6.2349597675873275e-30
FLPS,mRNA,frac_positive,3504,0.074074074074074,0.0,0.2,0.2,0.1412645862771672,0.1839226889009886,1.5587399418968317e-30,6.2349597675873275e-30
FLPS,ncRNA,frac_positive,603,0.0769230769230769,0.0,0.2352941176470588,0.2352941176470588,0.164639795396061,0.221380610174631,1.5587399418968317e-30,6.2349597675873275e-30
FLPS,pre-rRNA,frac_positive,497,0.1428571428571428,0.0,0.4117647058823529,0.4117647058823529,0.2484540225656623,0.2722363213150088,1.5587399418968317e-30,6.2349597675873275e-30
FLPS,ribosomal protein,frac_positive,204,0.2880184331797235,0.0963901689708141,0.4814814814814815,0.3850913125106674,0.301728567845995,0.2340170862503632,1.5587399418968317e-30,6.2349597675873275e-30
FLPS,snRNA,frac_positive,441,0.0909090909090909,0.0,0.2894736842105263,0.2894736842105263,0.1841372804530094,0.2250294358418357,1.5587399418968317e-30,6.2349597675873275e-30
FLPS,snoRNA,frac_positive,185,0.1090909090909091,0.0,0.3703703703703703,0.3703703703703703,0.2207447842603093,0.2536444668665946,1.5587399418968317e-30,6.2349597675873275e-30
FLPS,tRNA,frac_positive,385,0.08,0.0,0.2708333333333333,0.2708333333333333,0.1810667353661516,0.2358292342693825,1.5587399418968317e-30,6.2349597675873275e-30
FLPS,unknown,frac_positive,2104,0.0833333333333333,0.0,0.2132068520906243,0.2132068520906243,0.1616480486220227,0.2116032985605818,1.5587399418968317e-30,6.2349597675873275e-30
LCRFinder,diverse,frac_positive,93,0.0,0.0,0.0,0.0,0.0955403915081334,0.2398073692351575,4.62931587001613e-16,9.25863174003226e-16
